2020-04-07 17:40:35 [INF] conf.go:49 | 配置文件加载成功！
2020-04-07 17:40:35 [INF] syncMap.go:70 | 缓存数据同步规则加载成功！
2020-04-07 17:40:37 [ERR] dbPool.go:22 | 数据库连接池初始化失败dial tcp 127.0.0.1:3306: connectex: No connection could be made because the target machine actively refused it.
2020-04-07 18:51:31 [INF] conf.go:78 | 配置文件加载成功！
2020-04-07 18:51:31 [INF] syncMap.go:70 | 缓存数据同步规则加载成功！
2020-04-07 18:51:32 [INF] dbPool.go:25 | 数据库连接成功！
2020-04-07 18:51:32 [INF] redisPool.go:25 | Redis连接成功！
2020-04-07 18:51:32 [INF] handler.go:22 | 任务处理线程池创建成功，最大goroutine数量：10, 任务超时时间：3E+01秒
2020-04-07 18:51:39 [INF] refreshMain.go:14 | 开始分发数据库全量同步任务...
2020-04-07 18:51:39 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_orderer_info
2020-04-07 18:51:39 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_cc_info
2020-04-07 18:51:39 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_user_info
2020-04-07 18:51:39 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_peer_info
2020-04-07 18:51:39 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_peer_cc
2020-04-07 18:51:39 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_org_info
2020-04-07 18:51:39 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_channel_info
2020-04-07 18:51:39 [INF] refreshTask.go:44 | b_orderer_info, 数据开始写入缓存...
2020-04-07 18:51:39 [INF] refreshTask.go:44 | b_channel_info, 数据开始写入缓存...
2020-04-07 18:51:39 [INF] refreshTask.go:44 | b_cc_info, 数据开始写入缓存...
2020-04-07 18:51:39 [INF] refreshTask.go:44 | b_user_info, 数据开始写入缓存...
2020-04-07 18:51:39 [INF] refreshTask.go:44 | b_peer_cc, 数据开始写入缓存...
2020-04-07 18:51:39 [INF] refreshTask.go:44 | b_org_info, 数据开始写入缓存...
2020-04-07 18:51:39 [INF] refreshTask.go:44 | b_peer_info, 数据开始写入缓存...
2020-04-07 18:51:39 [INF] refreshMain.go:21 | 数据库全量数据同步任务已全部完成
2020-04-07 18:51:39 [ERR] canalMain.go:32 | dial tcp :0: connectex: The requested address is not valid in its context.
2020-04-07 18:52:43 [INF] conf.go:78 | 配置文件加载成功！
2020-04-07 18:52:43 [INF] syncMap.go:70 | 缓存数据同步规则加载成功！
2020-04-07 18:52:43 [INF] dbPool.go:25 | 数据库连接成功！
2020-04-07 18:52:43 [INF] redisPool.go:25 | Redis连接成功！
2020-04-07 18:52:43 [INF] handler.go:22 | 任务处理线程池创建成功，最大goroutine数量：10, 任务超时时间：3E+01秒
2020-04-07 18:52:54 [INF] conf.go:78 | 配置文件加载成功！
2020-04-07 18:52:54 [INF] syncMap.go:70 | 缓存数据同步规则加载成功！
2020-04-07 18:52:55 [INF] dbPool.go:25 | 数据库连接成功！
2020-04-07 18:52:55 [INF] redisPool.go:25 | Redis连接成功！
2020-04-07 18:52:55 [INF] handler.go:22 | 任务处理线程池创建成功，最大goroutine数量：10, 任务超时时间：3E+01秒
2020-04-07 18:52:59 [INF] refreshMain.go:14 | 开始分发数据库全量同步任务...
2020-04-07 18:52:59 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_org_info
2020-04-07 18:52:59 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_channel_info
2020-04-07 18:52:59 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_orderer_info
2020-04-07 18:52:59 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_peer_cc
2020-04-07 18:52:59 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_user_info
2020-04-07 18:52:59 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_peer_info
2020-04-07 18:52:59 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_cc_info
2020-04-07 18:52:59 [INF] refreshTask.go:44 | b_org_info, 数据开始写入缓存...
2020-04-07 18:52:59 [INF] refreshTask.go:44 | b_peer_cc, 数据开始写入缓存...
2020-04-07 18:52:59 [INF] refreshTask.go:44 | b_channel_info, 数据开始写入缓存...
2020-04-07 18:52:59 [INF] refreshTask.go:44 | b_user_info, 数据开始写入缓存...
2020-04-07 18:52:59 [INF] refreshTask.go:44 | b_peer_info, 数据开始写入缓存...
2020-04-07 18:52:59 [INF] refreshTask.go:44 | b_orderer_info, 数据开始写入缓存...
2020-04-07 18:52:59 [INF] refreshTask.go:44 | b_cc_info, 数据开始写入缓存...
2020-04-07 18:54:38 [INF] conf.go:78 | 配置文件加载成功！
2020-04-07 18:54:38 [INF] syncMap.go:70 | 缓存数据同步规则加载成功！
2020-04-07 18:54:38 [INF] dbPool.go:25 | 数据库连接成功！
2020-04-07 18:54:38 [INF] redisPool.go:25 | Redis连接成功！
2020-04-07 18:54:38 [INF] handler.go:22 | 任务处理线程池创建成功，最大goroutine数量：10, 任务超时时间：3E+01秒
2020-04-07 18:54:42 [INF] refreshMain.go:14 | 开始分发数据库全量同步任务...
2020-04-07 18:54:42 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_orderer_info
2020-04-07 18:54:42 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_channel_info
2020-04-07 18:54:42 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_peer_cc
2020-04-07 18:54:42 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_cc_info
2020-04-07 18:54:42 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_user_info
2020-04-07 18:54:42 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_org_info
2020-04-07 18:54:42 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_peer_info
2020-04-07 18:54:42 [INF] refreshTask.go:44 | b_orderer_info, 数据开始写入缓存...
2020-04-07 18:54:43 [INF] refreshTask.go:44 | b_channel_info, 数据开始写入缓存...
2020-04-07 18:54:43 [INF] refreshTask.go:44 | b_peer_cc, 数据开始写入缓存...
2020-04-07 18:54:43 [INF] refreshTask.go:44 | b_org_info, 数据开始写入缓存...
2020-04-07 18:54:43 [INF] refreshTask.go:44 | b_peer_info, 数据开始写入缓存...
2020-04-07 18:54:43 [INF] refreshTask.go:44 | b_cc_info, 数据开始写入缓存...
2020-04-07 18:54:43 [INF] refreshTask.go:44 | b_user_info, 数据开始写入缓存...
2020-04-07 18:54:43 [INF] refreshMain.go:21 | 数据库全量数据同步任务已全部完成
2020-04-07 18:54:43 [INF] canalMain.go:44 | Canal连接成功，开始监听binlog...
2020-04-07 18:55:32 [INF] canalMain.go:83 | ================> binlog[mysql-bin.000022 : 8062],name[bctest,b_user_info], eventType: INSERT
2020-04-07 18:55:32 [INF] canalMain.go:105 | id : 11  update= true
